OBJECTID1,CountyName,StateAbbr,asd_code,asd_desc,county_code,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,MEAN_Nrate_lbperac,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
343,Adams,IA,70,SOUTHWEST,3,13043,52189,0,15676,71500,67300,179.9,,,71100,71500,52.6,1/1/2017 0:00,54.42294655,61.00812,30.81487,181.0947,92.94534,3.67363
344,Adams,IA,70,SOUTHWEST,3,13645,51268,0,15861.6,71000,68900,171.6,,,69000,69500,53.2,1/1/2018 0:00,49.46267876,55.44766,31.89875,178.0704,93.55772,2.83373
345,Adams,IA,70,SOUTHWEST,3,14247,50347,0,16047.2,,,,,,,,,1/1/2019 0:00,49.99461836,56.04397,,,,
346,Cass,IA,70,SOUTHWEST,29,16971,62684,363,0,120100,117900,120.6,1800,15.5,108300,109200,40.2,1/1/1997 0:00,59.50524097,66.70538,16.96159,129.395,56.59922,10.87119
347,Cass,IA,70,SOUTHWEST,29,13576.8,63020,290.4,6938.8,122900,120900,144.6,1800,15.2,110600,110900,42.8,1/1/1998 0:00,61.46492799,68.90218,17.24457,143.9383,63.04192,5.25037
348,Cass,IA,70,SOUTHWEST,29,10182.6,63356,217.8,13877.6,121000,119400,135.2,1500,15.6,114700,115000,41.5,1/1/1999 0:00,61.459999,68.89666,17.68758,138.5875,61.33821,9.33495
349,Cass,IA,70,SOUTHWEST,29,6788.4,63692,145.2,20816.4,123000,120800,132.2,1900,14.9,112800,113000,40.9,1/1/2000 0:00,60.7497886,68.10051,18.29135,135.6354,58.71819,9.47465
350,Cass,IA,70,SOUTHWEST,29,3394.2,64028,72.6,27755.2,117000,114900,126.7,1600,15,115300,116000,43.7,1/1/2001 0:00,53.55296207,60.03287,19.1384,141.0441,68.59002,6.71719
351,Cass,IA,70,SOUTHWEST,29,0,64364,0,34694,124000,120000,135,2700,15.9,110300,111000,41.5,1/1/2002 0:00,52.94654691,59.35308,19.58185,137.6453,59.45664,0.74627
352,Cass,IA,70,SOUTHWEST,29,0,65088.2,0,33518.4,120000,116000,133.2,3000,17.7,115500,116000,29.5,1/1/2003 0:00,57.79659492,64.78999,19.13794,112.7798,29.98141,1.12954
353,Cass,IA,70,SOUTHWEST,29,0,65812.4,0,32342.8,126000,124000,192.3,1900,16.3,110200,111000,52.8,1/1/2004 0:00,62.21456125,69.74252,18.69777,182.3388,87.56917,-6.32934
354,Cass,IA,70,SOUTHWEST,29,0,66536.6,0,31167.2,127000,124500,168.2,2200,15.5,109900,110500,52,1/1/2005 0:00,67.97794857,76.20328,18.29975,171.1013,84.97877,8.3805
355,Cass,IA,70,SOUTHWEST,29,0,67260.8,0,29991.6,127500,126900,170.8,500,21.8,109200,109500,52.1,1/1/2006 0:00,64.78858117,72.628,17.97894,171.7062,84.63718,3.53792
356,Cass,IA,70,SOUTHWEST,29,0,67985,0,28816,133500,132000,157.5,1000,18.6,104700,105300,50.5,1/1/2007 0:00,73.68054354,82.59589,17.48671,161.194,76.96278,15.85138
357,Cass,IA,70,SOUTHWEST,29,0,63924.2,0,29109.4,131000,129000,174,,,108300,109000,46,1/1/2008 0:00,72.21008655,80.94751,17.09416,160.4129,68.21886,5.84763
358,Cass,IA,70,SOUTHWEST,29,0,59863.4,0,29402.8,139000,138000,182.4,850,21,104800,105500,54.5,1/1/2009 0:00,67.89279569,76.10783,16.48004,178.029,84.64307,-0.79806
359,Cass,IA,70,SOUTHWEST,29,0,55802.6,0,29696.2,137500,135000,155.1,,,107300,108000,53.2,1/1/2010 0:00,59.17135036,66.33109,16.11462,165.401,83.20384,0.24855
360,Cass,IA,70,SOUTHWEST,29,0,51741.8,0,29989.6,140500,136500,175.2,,,107900,109500,52.4,1/1/2011 0:00,95.02100067,106.5185,15.53164,172.0411,80.94649,30.95553
361,Cass,IA,70,SOUTHWEST,29,0,47681,0,30283,139000,136400,120.4,,,109100,109500,37.1,1/1/2012 0:00,94.26006474,105.6655,15.33071,120.5054,44.98416,45.47497
362,Cass,IA,70,SOUTHWEST,29,0,45249.8,0,29730.2,139000,134900,159.5,2300,16,111400,112000,44.8,1/1/2013 0:00,90.92773616,101.93,14.74952,151.9124,64.12945,28.89657
363,Cass,IA,70,SOUTHWEST,29,0,42818.6,0,29177.4,133500,131800,173.7,,,122800,123500,53.8,1/1/2014 0:00,78.7049441,88.22824,13.98668,178.2834,92.44656,16.37808
364,Cass,IA,70,SOUTHWEST,29,0,40387.4,0,28624.6,137000,133900,193.7,,,117000,117500,57.2,1/1/2015 0:00,61.81492716,69.29453,13.70147,191.3655,97.30631,-11.06319
365,Cass,IA,70,SOUTHWEST,29,0,37956.2,0,28071.8,134500,132500,195.9,,,117700,118000,59.6,1/1/2016 0:00,65.89361918,73.86674,13.38404,197.5092,104.5584,-5.70002
366,Cass,IA,70,SOUTHWEST,29,0,35525,0,27519,132000,126700,197.4,,,121300,122000,56.9,1/1/2017 0:00,67.08963199,75.20747,12.88157,194.4754,100.4528,-5.93356
367,Cass,IA,70,SOUTHWEST,29,0,33093.8,0,26966.2,128000,125000,169.5,,,120500,121500,52.6,1/1/2018 0:00,60.44037168,67.75365,12.68283,175.0402,90.52391,-4.07981
368,Cass,IA,70,SOUTHWEST,29,0,30662.6,0,26413.4,137500,135100,200.3,,,111300,112000,56.9,1/1/2019 0:00,61.15256237,68.55202,12.25175,191.9608,93.88219,-17.27484
369,Clayton,IA,30,NORTHEAST,43,16221,237414,21704,0,158800,150300,137.6,8000,17.7,45200,46000,48.4,1/1/1997 0:00,46.57494054,52.21051,58.44489,126.5112,36.65236,20.79656
370,Clayton,IA,30,NORTHEAST,43,16447.8,226409.8,21097.4,9162.6,167900,162900,153.9,5000,17.3,45500,45600,53.4,1/1/1998 0:00,44.66326921,50.06752,58.18252,139.2766,40.62693,9.60037
371,Clayton,IA,30,NORTHEAST,43,16674.6,215405.6,20490.8,18325.2,141000,133100,154.1,7700,20,38900,39000,49.6,1/1/1999 0:00,47.75154968,53.52949,71.52457,136.5996,36.76198,25.21644
372,Clayton,IA,30,NORTHEAST,43,16901.4,204401.4,19884.2,27487.8,141000,134000,147.2,6800,18.6,42900,43000,52,1/1/2000 0:00,45.82199301,51.36646,72.42869,136.8578,42.68373,29.62108
373,Clayton,IA,30,NORTHEAST,43,17128.2,193397.2,19277.6,36650.4,128000,120900,152.5,6400,21.1,52600,53000,46.5,1/1/2001 0:00,45.20821486,50.67841,76.12891,139.3796,44.77475,32.20247
374,Clayton,IA,30,NORTHEAST,43,17355,182393,18671,45813,137000,127500,172.5,8800,18.4,47800,48000,54.9,1/1/2002 0:00,37.82494003,42.40176,76.92859,157.3524,51.45756,13.43551
375,Clayton,IA,30,NORTHEAST,43,16709.6,182376.2,17788.4,47183.4,136500,125500,160.6,10500,19.9,51800,52000,37.3,1/1/2003 0:00,41.09085242,46.06285,74.80915,131.0972,28.46032,18.23512
376,Clayton,IA,30,NORTHEAST,43,16064.2,182359.4,16905.8,48553.8,137500,129000,176.3,7500,19.7,50700,51000,49.2,1/1/2004 0:00,46.85300044,52.52221,74.1181,153.478,45.32047,18.48278
377,Clayton,IA,30,NORTHEAST,43,15418.8,182342.6,16023.2,49924.2,137000,129000,180.9,7200,19.2,45400,45500,58.3,1/1/2005 0:00,48.56466335,54.44099,75.84108,164.4228,54.02874,19.88801
378,Clayton,IA,30,NORTHEAST,43,14773.4,182325.8,15140.6,51294.6,131000,122100,173.2,8300,20.5,52800,53000,53.9,1/1/2006 0:00,44.68775578,50.09497,74.51485,159.5855,55.56916,20.59348
379,Clayton,IA,30,NORTHEAST,43,14128,182309,14258,52665,151500,141900,173.6,9000,19.2,42000,42100,52.3,1/1/2007 0:00,37.20508116,41.7069,70.14705,150.6183,40.07082,1.30647
380,Clayton,IA,30,NORTHEAST,43,14160.8,198064,13636.6,51023.2,143500,129000,171,8300,19,51700,52000,50.5,1/1/2008 0:00,47.93071811,53.73034,70.1312,152.5992,46.42408,17.68642
381,Clayton,IA,30,NORTHEAST,43,14193.6,213819,13015.2,49381.4,151500,141500,172.1,,,46700,47500,48.5,1/1/2009 0:00,37.56066928,42.10551,69.55192,147.6315,39.07969,3.10562
382,Clayton,IA,30,NORTHEAST,43,14226.4,229574,12393.8,47739.6,153000,147500,176.9,,,50500,51000,56.8,1/1/2010 0:00,45.67244782,51.19881,68.48535,159.9529,52.14967,11.88093
383,Clayton,IA,30,NORTHEAST,43,14259.2,245329,11772.4,46097.8,164000,159000,186.8,,,43800,44100,59.1,1/1/2011 0:00,65.53536746,73.46515,67.76162,163.4064,46.84094,24.66131
384,Clayton,IA,30,NORTHEAST,43,14292,261084,11151,44456,163500,152600,152.9,,,47300,47500,54.7,1/1/2012 0:00,59.26142453,66.43206,67.44727,142.1539,44.40342,36.12885
385,Clayton,IA,30,NORTHEAST,43,15199,264950.8,11305.2,43919.8,156500,146800,181.2,,,50000,50100,55.1,1/1/2013 0:00,58.22657441,65.27199,69.84377,160.3577,48.3558,23.11386
386,Clayton,IA,30,NORTHEAST,43,16106,268817.6,11459.4,43383.6,155000,148600,176.7,,,55400,56000,51.5,1/1/2014 0:00,51.93112827,58.21479,69.32735,155.5241,47.75747,19.77551
387,Clayton,IA,30,NORTHEAST,43,17013,272684.4,11613.6,42847.4,153000,146700,193.2,,,54800,55000,56.8,1/1/2015 0:00,57.65361479,64.6297,71.28088,170.6604,55.1583,20.40848
388,Clayton,IA,30,NORTHEAST,43,17920,276551.2,11767.8,42311.2,153000,143700,210.3,,,56300,56400,63.2,1/1/2016 0:00,60.84733492,68.20986,71.75153,188.4813,65.50408,16.98417
389,Clayton,IA,30,NORTHEAST,43,18827,280418,11922,41775,151000,142600,213.6,,,57300,57800,59,1/1/2017 0:00,61.86403827,69.34959,72.90766,185.6411,61.03695,17.6531
390,Clayton,IA,30,NORTHEAST,43,19734,284284.8,12076.2,41238.8,149000,139800,201.5,,,58800,59200,58.8,1/1/2018 0:00,56.87128913,63.75272,74.07046,179.9807,62.38804,20.23052
391,Clayton,IA,30,NORTHEAST,43,20641,288151.6,12230.4,40702.6,153500,143200,197.5,,,49700,50300,56.4,1/1/2019 0:00,57.39676268,64.34177,76.64288,171.1298,50.95059,20.80544
392,Hardin,IA,50,CENTRAL,83,6679,394233,162,0,164900,163100,133.2,1200,18.1,141800,143500,45.4,1/1/1997 0:00,62.85322089,70.45846,34.15647,143.6481,68.38243,29.34926
393,Hardin,IA,50,CENTRAL,83,5343.2,492974,129.6,2763.2,164300,162000,148,2100,19.7,139000,139600,48,1/1/1998 0:00,62.59509357,70.1691,42.75553,154.3982,73.96641,32.49284
394,Hardin,IA,50,CENTRAL,83,4007.4,591715,97.2,5526.4,159000,156900,152,1800,18.9,138700,139000,44.8,1/1/1999 0:00,64.38638987,72.17714,51.85555,150.2279,67.03656,40.84135
395,Hardin,IA,50,CENTRAL,83,2671.6,690456,64.8,8289.6,161000,158800,146.8,1700,18.2,135800,136000,43.8,1/1/2000 0:00,64.82068765,72.66399,60.31145,145.5058,63.33479,50.80443
396,Hardin,IA,50,CENTRAL,83,1335.8,789197,32.4,11052.8,158000,155600,157.7,1500,20.4,137100,138000,43.7,1/1/2001 0:00,55.68642069,62.42448,68.8245,150.1889,64.23123,45.29131
397,Hardin,IA,50,CENTRAL,83,0,887938,0,13816,163000,161000,177.6,1000,20,129300,130000,50,1/1/2002 0:00,54.39842652,60.98064,77.92355,168.8007,76.24004,46.34353
398,Hardin,IA,50,CENTRAL,83,1259.2,885427.6,36.2,16021.8,169500,167000,169.5,1500,20.7,122300,123000,33.8,1/1/2003 0:00,64.11361405,71.87136,79.11249,133.9658,35.42624,52.44429
399,Hardin,IA,50,CENTRAL,83,2518.4,882917.2,72.4,18227.6,177000,175000,194,1200,20.4,116600,117000,50.4,1/1/2004 0:00,64.99502486,72.85942,79.7592,172.9684,69.24331,48.89353
400,Hardin,IA,50,CENTRAL,83,3777.6,880406.8,108.6,20433.4,185000,183000,188.6,1300,20.8,110000,110500,55.1,1/1/2005 0:00,71.46021781,80.1069,80.39935,176.2752,74.56687,58.79792
401,Hardin,IA,50,CENTRAL,83,5036.8,877896.4,144.8,22639.2,184000,182700,183.5,1200,19.5,109700,110000,56.5,1/1/2006 0:00,69.3160425,77.70329,81.8599,176.1508,77.44025,60.85264
402,Hardin,IA,50,CENTRAL,83,6296,875386,181,24845,207500,205600,177.3,,,87400,87500,53.8,1/1/2007 0:00,78.44663046,87.93867,82.6292,161.2152,57.06147,66.41414
403,Hardin,IA,50,CENTRAL,83,5036.8,844310.6,144.8,23049.2,192000,187000,159,,,102900,104000,48.5,1/1/2008 0:00,82.9374299,92.97286,78.6648,150.0552,57.52441,79.10687
404,Hardin,IA,50,CENTRAL,83,3777.6,813235.2,108.6,21253.4,184000,178000,162.9,,,99300,106000,46,1/1/2009 0:00,69.0620207,77.41853,76.53086,148.3424,54.90313,60.51012
405,Hardin,IA,50,CENTRAL,83,2518.4,782159.8,72.4,19457.6,186000,185000,185.8,,,104300,104500,55.3,1/1/2010 0:00,78.27517477,87.74647,72.64412,173.807,72.1207,58.70429
406,Hardin,IA,50,CENTRAL,83,1259.2,751084.4,36.2,17661.8,194500,192900,186.7,,,95600,96200,56.6,1/1/2011 0:00,102.3571247,114.7423,68.84171,173.1793,68.67274,79.07745
407,Hardin,IA,50,CENTRAL,83,0,720009,0,15866,196000,192900,163.6,,,92700,93000,50.8,1/1/2012 0:00,97.98163305,109.8374,65.47215,152.8061,56.68774,79.19119
408,Hardin,IA,50,CENTRAL,83,1818.8,701796.2,25.8,18259.2,192000,187300,156.6,,,93000,93700,47.1,1/1/2013 0:00,93.74217195,105.085,66.28648,144.7607,51.21326,77.82404
409,Hardin,IA,50,CENTRAL,83,3637.6,683583.4,51.6,20652.4,186000,182900,166.3,2430,19,102700,103500,46.9,1/1/2014 0:00,80.01159003,89.69299,65.47375,151.4638,55.44049,59.14343
410,Hardin,IA,50,CENTRAL,83,5456.4,665370.6,77.4,23045.6,188500,183000,199.3,,,98700,99100,55.6,1/1/2015 0:00,82.71927352,92.7283,65.964,179.7352,69.64244,48.59954
411,Hardin,IA,50,CENTRAL,83,7275.2,647157.8,103.2,25438.8,197000,194600,208,,,89000,89400,59.9,1/1/2016 0:00,88.37785569,99.07158,66.29835,186.613,70.34611,49.10304
412,Hardin,IA,50,CENTRAL,83,9094,628945,129,27832,189500,187800,213.7,,,97400,98000,59.7,1/1/2017 0:00,90.14400031,101.0514,66.10242,191.9723,76.44955,51.63107
413,Hardin,IA,50,CENTRAL,83,10912.8,610732.2,154.8,30225.2,183500,180100,216.6,,,101000,102000,59.3,1/1/2018 0:00,81.1899371,91.01392,66.62363,194.4851,79.35469,42.50714
414,Hardin,IA,50,CENTRAL,83,12731.6,592519.4,180.6,32618.4,197000,195200,200.2,,,86600,87200,53.9,1/1/2019 0:00,82.13739083,92.07601,66.98679,173.9996,59.1927,44.2559
415,Linn,IA,60,EAST CENTRAL,113,10734,78424,2080,0,135400,132100,144.1,2900,19.1,110700,111800,47.9,1/1/1997 0:00,52.2658085,58.58997,15.1485,152.0619,72.57925,-5.74418
416,Linn,IA,60,EAST CENTRAL,113,10547.2,75873.8,1996.8,4308.6,140000,137500,146.4,2500,20.1,111700,111900,53.8,1/1/1998 0:00,50.81743115,56.96634,15.95417,163.6189,85.4592,-5.23919
417,Linn,IA,60,EAST CENTRAL,113,10360.4,73323.6,1913.6,8617.2,140000,138000,150.8,1800,21.3,117800,119000,48.1,1/1/1999 0:00,51.64689851,57.89617,16.5753,155.5912,74.23058,-6.88915
418,Linn,IA,60,EAST CENTRAL,113,10173.6,70773.4,1830.4,12925.8,139000,136100,140.9,2300,19.4,120700,121000,43.5,1/1/2000 0:00,50.22316362,56.30017,17.56595,143.3053,63.61342,-5.82576
419,Linn,IA,60,EAST CENTRAL,113,9986.8,68223.2,1747.2,17234.4,136000,132900,164.9,2300,19.3,120400,121000,47.1,1/1/2001 0:00,46.30467366,51.90754,18.83772,160.4364,73.51997,-16.17117
420,Linn,IA,60,EAST CENTRAL,113,9800,65673,1664,21543,136000,132500,176.6,2800,18.6,118300,119000,47.5,1/1/2002 0:00,43.91067012,49.22386,20.06054,165.5335,73.88111,-22.36799
421,Linn,IA,60,EAST CENTRAL,113,10510.6,80043,1720.8,20989.4,143000,137500,162.5,4000,21.8,117500,118000,28.9,1/1/2003 0:00,47.82792049,53.6151,21.16303,122.211,26.1104,-21.32247
422,Linn,IA,60,EAST CENTRAL,113,11221.2,94413,1777.6,20435.8,147000,143000,172.4,2000,17.5,114600,115000,47.7,1/1/2004 0:00,50.40108214,56.49961,22.63993,162.2148,69.96477,-13.11049
423,Linn,IA,60,EAST CENTRAL,113,11931.8,108783,1834.4,19882.2,144000,140500,152,2400,15.5,111900,112500,49.3,1/1/2005 0:00,54.08482232,60.62909,24.71646,156.7386,73.70556,2.31251
424,Linn,IA,60,EAST CENTRAL,113,12642.4,123153,1891.2,19328.6,138500,136100,176.2,1700,19.5,115300,116000,49.4,1/1/2006 0:00,50.66675002,56.79743,26.51428,168.1619,76.84229,-8.0079
425,Linn,IA,60,EAST CENTRAL,113,13353,137523,1948,18775,163000,160500,176.7,2000,21,90900,91000,51,1/1/2007 0:00,56.86507723,63.74575,28.17322,162.9178,63.49937,-7.49946
426,Linn,IA,60,EAST CENTRAL,113,12621.2,127760,1853.2,18792.4,145000,141000,172,,,107200,108000,47,1/1/2008 0:00,60.42600857,67.73756,26.89059,159.7388,66.42783,1.31718
427,Linn,IA,60,EAST CENTRAL,113,11889.4,117997,1758.4,18809.8,154500,150500,189.7,,,100500,101000,50.5,1/1/2009 0:00,50.11138586,56.17486,25.24714,171.2704,68.99493,-20.85347
428,Linn,IA,60,EAST CENTRAL,113,11157.6,108234,1663.6,18827.2,150000,146000,170.3,,,102600,103000,53.8,1/1/2010 0:00,52.90938625,59.31142,24.10263,169.6404,78.32017,-7.90618
429,Linn,IA,60,EAST CENTRAL,113,10425.8,98471,1568.8,18844.6,165500,163500,169.1,,,90000,90500,57.1,1/1/2011 0:00,69.54100651,77.95547,22.44254,168.0284,74.31629,6.6859
430,Linn,IA,60,EAST CENTRAL,113,9694,88708,1474,18862,161500,156300,124.2,,,93700,94100,46.1,1/1/2012 0:00,62.15785333,69.67896,21.09786,131.876,55.49814,14.39896
431,Linn,IA,60,EAST CENTRAL,113,10305.2,84371.6,1426,18451.4,162000,157700,178.6,,,94200,94700,46.2,1/1/2013 0:00,59.01652989,66.15753,20.7439,157.1705,55.81213,-14.45694
432,Linn,IA,60,EAST CENTRAL,113,10916.4,80035.2,1378,18040.8,153000,150700,176.1,,,101500,102000,51.1,1/1/2014 0:00,51.87171973,58.1482,20.61688,166.4493,71.11227,-16.57195
433,Linn,IA,60,EAST CENTRAL,113,11527.6,75698.8,1330,17630.2,151000,148200,189.2,,,104600,105000,56.2,1/1/2015 0:00,55.23000763,61.91284,20.27207,182.2317,84.2275,-15.81929
434,Linn,IA,60,EAST CENTRAL,113,12138.8,71362.4,1282,17219.6,150500,148500,200.3,,,100800,102500,60,1/1/2016 0:00,58.8750975,65.99899,20.24504,192.7816,91.52075,-15.01682
435,Linn,IA,60,EAST CENTRAL,113,12750,67026,1234,16809,151000,150000,217.4,,,104400,105000,56,1/1/2017 0:00,59.99615592,67.25569,19.74352,193.8482,83.78398,-23.06501
436,Linn,IA,60,EAST CENTRAL,113,13361.2,62689.6,1186,16398.4,151000,148100,215.4,,,103700,104500,57.7,1/1/2018 0:00,54.19357725,60.751,19.51736,196.1069,87.30746,-28.53108
437,Linn,IA,60,EAST CENTRAL,113,13972.4,58353.2,1138,15987.8,155500,153500,223.7,,,95600,96300,56.5,1/1/2019 0:00,54.81028776,61.44233,19.53547,195.4212,79.15748,-35.28592
438,Osceola,IA,10,NORTHWEST,143,2332,215884,1418,0,110100,106000,128.7,3700,17.6,111000,111900,43.1,1/1/1997 0:00,70.6467241,79.19498,26.27772,141.4506,67.80905,31.83115
439,Osceola,IA,10,NORTHWEST,143,2519,222322.8,1781.4,4496.8,111500,109600,148.9,1900,19.1,107700,108000,49.5,1/1/1998 0:00,69.18433032,77.55563,29.50299,161.2156,83.21658,29.0596
440,Osceola,IA,10,NORTHWEST,143,2706,228761.6,2144.8,8993.6,112000,110200,167,1700,18.1,112900,113000,49.4,1/1/1999 0:00,65.10972836,72.98801,31.63625,168.6905,84.66931,20.60307
441,Osceola,IA,10,NORTHWEST,143,2893,235200.4,2508.2,13490.4,115000,112000,154.1,2100,11.7,110800,111000,46.2,1/1/2000 0:00,71.91491157,80.61662,34.33809,156.2607,74.30517,32.99918
442,Osceola,IA,10,NORTHWEST,143,3080,241639.2,2871.6,17987.2,109000,106100,127.2,2100,14.2,122000,123000,42.4,1/1/2001 0:00,51.81272463,58.08207,36.21835,141.4267,69.31615,22.18987
443,Osceola,IA,10,NORTHWEST,143,3267,248078,3235,22484,114000,109000,148.6,4200,21,109300,110000,51.4,1/1/2002 0:00,60.88379877,68.25074,40.37906,165.719,88.09953,31.01033
444,Osceola,IA,10,NORTHWEST,143,3189,288854.6,3914.8,24006.2,113500,108500,155.8,4500,20,112500,113000,34.2,1/1/2003 0:00,67.1413524,75.26546,45.4109,131.5818,43.10863,32.20319
445,Osceola,IA,10,NORTHWEST,143,3111,329631.2,4594.6,25528.4,119000,115000,187.3,3000,22.5,107700,108000,49.3,1/1/2004 0:00,68.12476302,76.36786,50.77633,174.2503,79.95267,32.84656
446,Osceola,IA,10,NORTHWEST,143,3033,370407.8,5274.4,27050.6,116000,113000,185.8,2500,22.4,109000,109500,53.2,1/1/2005 0:00,78.3958326,87.88173,56.6159,182.4687,91.84145,53.87038
447,Osceola,IA,10,NORTHWEST,143,2955,411184.4,5954.2,28572.8,118000,116100,165.4,1800,20.5,107300,107500,51.5,1/1/2006 0:00,65.61094963,73.54987,62.11771,170.1261,85.7823,51.32378
448,Osceola,IA,10,NORTHWEST,143,2877,451961,6634,30095,134000,130500,171.4,3000,21.2,96400,96500,54.7,1/1/2007 0:00,92.906701,104.1484,66.15272,173.0352,82.57748,79.8434
449,Osceola,IA,10,NORTHWEST,143,3100.4,428556.4,6249,31398.4,124500,122000,175,,,105600,106000,48,1/1/2008 0:00,83.48661048,93.58849,63.99839,165.3283,74.04824,66.30682
450,Osceola,IA,10,NORTHWEST,143,3323.8,405151.8,5864,32701.8,119500,117000,193.6,,,103100,103500,50.5,1/1/2009 0:00,84.13777964,94.31845,63.92402,178.0341,81.00693,61.2153
451,Osceola,IA,10,NORTHWEST,143,3547.2,381747.2,5479,34005.2,118500,113000,192.7,,,103500,104500,52.7,1/1/2010 0:00,67.90509953,76.12162,61.69724,182.9257,87.36356,42.25672
452,Osceola,IA,10,NORTHWEST,143,3770.6,358342.6,5094,35308.6,124500,114900,184.4,,,96100,96600,51.6,1/1/2011 0:00,83.93386955,94.08987,59.98151,175.5204,78.85461,57.40559
453,Osceola,IA,10,NORTHWEST,143,3994,334938,4709,36612,125000,119400,169.6,,,95400,95700,50.4,1/1/2012 0:00,84.45276167,94.67155,57.84023,166.1658,75.4482,61.79418
454,Osceola,IA,10,NORTHWEST,143,3998.2,356909.4,4910.6,36791.6,133500,121800,182,,,97600,98000,49,1/1/2013 0:00,80.5119296,90.25388,57.68363,168.6489,70.45276,49.74137
455,Osceola,IA,10,NORTHWEST,143,4002.4,378880.8,5112.2,36971.2,131500,123900,175.4,,,99000,99500,52.2,1/1/2014 0:00,69.70373254,78.13789,60.35576,171.9955,79.13825,45.6364
456,Osceola,IA,10,NORTHWEST,143,4006.6,400852.2,5313.8,37150.8,126500,122000,204.7,,,103000,103500,59.8,1/1/2015 0:00,75.24621288,84.35101,63.17653,200.028,101.1684,48.66794
457,Osceola,IA,10,NORTHWEST,143,4010.8,422823.6,5515.4,37330.4,125000,121800,203.7,,,101100,101500,56.1,1/1/2016 0:00,80.29922569,90.01543,66.75066,191.9548,91.78199,56.59328
458,Osceola,IA,10,NORTHWEST,143,4015,444795,5717,37510,127000,123900,211.6,,,100700,101500,59.7,1/1/2017 0:00,81.8317328,91.73338,68.74155,201.6572,99.62458,58.44231
459,Osceola,IA,10,NORTHWEST,143,4019.2,466766.4,5918.6,37689.6,116000,112300,180.2,,,102900,104500,57.2,1/1/2018 0:00,73.71606238,82.6357,73.90416,187.3642,99.88462,69.06028
460,Osceola,IA,10,NORTHWEST,143,4023.4,488737.8,6120.2,37869.2,121000,117300,182.5,,,90200,91000,50.5,1/1/2019 0:00,74.66141216,83.69544,79.64287,170.8922,74.91904,67.36515
461,Cedar,IA,60,EAST CENTRAL,31,9970,150944,899,0,145800,143800,141.3,1600,16.4,115100,116100,51.7,1/1/1997 0:00,62.71086181,70.29887,19.81701,157.0518,80.24805,13.31213
462,Cedar,IA,60,EAST CENTRAL,31,9821.8,149090.8,815,2497.2,141000,139300,169.8,1700,20.1,118400,118800,54.7,1/1/1998 0:00,60.22531285,67.51257,20.50748,176.1475,90.19502,2.06757
463,Cedar,IA,60,EAST CENTRAL,31,9673.6,147237.6,731,4994.4,139000,136300,156.9,2600,21.4,124900,125000,51.1,1/1/1999 0:00,60.3002421,67.59657,20.70308,165.8069,84.17645,6.6692
464,Cedar,IA,60,EAST CENTRAL,31,9525.4,145384.4,647,7491.6,140000,137300,147.1,2300,17.4,125800,126000,46.6,1/1/2000 0:00,64.08375121,71.83788,21.06535,152.755,72.68716,12.83539
465,Cedar,IA,60,EAST CENTRAL,31,9377.2,143531.2,563,9988.8,138000,135300,172.7,1900,19.3,127200,128000,50.5,1/1/2001 0:00,53.67358124,60.16808,21.58328,171.2502,83.98757,-5.51127
466,Cedar,IA,60,EAST CENTRAL,31,9229,141678,479,12486,141000,138500,187,1500,18,122400,123000,50.6,1/1/2002 0:00,53.90343701,60.42575,22.26864,175.6945,81.57012,-11.42999
467,Cedar,IA,60,EAST CENTRAL,31,8964.8,145499.2,565.6,13882.2,147000,143500,180.1,2000,23,118500,119000,36.2,1/1/2003 0:00,63.259228,70.9136,22.83563,143.5269,43.49376,-6.28391
468,Cedar,IA,60,EAST CENTRAL,31,8700.6,149320.4,652.2,15278.4,149500,147000,188.8,1500,23.3,117500,118000,49.8,1/1/2004 0:00,61.80930389,69.28823,23.43788,172.9307,75.32238,-4.88221
469,Cedar,IA,60,EAST CENTRAL,31,8436.4,153141.6,738.8,16674.6,153000,150000,144.4,2100,16.5,110900,111500,47.8,1/1/2005 0:00,71.86307851,80.55851,24.44231,148.9375,67.42216,23.48548
470,Cedar,IA,60,EAST CENTRAL,31,8172.2,156962.8,825.4,18070.8,145500,144600,181.6,800,21.3,118000,119000,51.3,1/1/2006 0:00,65.23885098,73.13275,25.18089,173.2768,80.47099,5.50783
471,Cedar,IA,60,EAST CENTRAL,31,7908,160784,912,19467,175500,173900,184.2,1000,22.3,90900,91000,52.2,1/1/2007 0:00,77.77439526,87.1851,25.72496,166.7168,62.73639,8.92965
472,Cedar,IA,60,EAST CENTRAL,31,7923,168760.2,780,18481.2,162000,157500,180,,,105600,106000,48.5,1/1/2008 0:00,75.84123544,85.01803,25.90099,163.5893,64.75624,12.08596
473,Cedar,IA,60,EAST CENTRAL,31,7938,176736.4,648,17495.4,162500,161500,191.5,,,107500,108000,53.5,1/1/2009 0:00,69.21775389,77.5931,25.97866,177.1716,76.16163,2.56179
